ENB2012_data,,,,,,,,,,,,,,,,,,,,,,
TAVG,WSPD,PRES,TOTAL_FLOOR_AREA,PROPERTY_TYPE,GLAZED_AREA,EXTENSION_COUNT,WALLS_DESCRIPTION,FLOOR_DESCRIPTION,FLOOR_LEVEL,WINDOWS_DESCRIPTION,WINDOWS_ENERGY_EFF,WINDOWS_ENV_EFF,WALLS_ENERGY_EFF,WALLS_ENV_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,ROOF_ENV_EFF,LIGHTING_ENV_EFF,LIGHTING_ENERGY_EFF,NUMBER_HEATED_ROOMS,NUMBER_HABITABLE_ROOMS,ENERGY_CONSUMPTION
0.76,661.5,416.5,122.5,7,4,0,0,24.77,29.79,185,0.563512196015834,0.899800255280334,0.705369214415459,0.0847224259540875,93,0.673331251250251,0.59381071379959,0.333823462493151,0.142157272954203,3,3,
0.76,661.5,416.5,122.5,7,5,0,0,23.93,29.4,22,0.869777708961904,0.97721927305161,0.910957574757718,0.441590106583733,28,0.998565461972973,0.00458165201595367,0.94494467416808,0.890146148629218,3,3,
0.74,686,245,220.5,3.5,2,0,0,6.07,10.9,77,0.242461190994016,0.220843110759209,0.8907323518546,0.86614406860986,55,0.412357535747662,0.696065002595445,0.762042325268597,0.413053288267196,3,1,
0.74,686,245,220.5,3.5,3,0,0,6.05,11.19,78,0.590566833979596,0.326475953783444,0.364008696394288,0.064083586836502,87,0.0765032890515557,0.421959320880455,0.823383484090114,0.831319481133127,4,1,
0.74,686,245,220.5,3.5,4,0,0,6.01,10.94,172,0.825023654496727,0.792650830757026,0.856610456169884,0.679936539527462,45,0.874798238393077,0.57878608968353,0.835176775554414,0.388171260519783,2,1,
0.74,686,245,220.5,3.5,5,0,0,6.04,11.17,108,0.140724710195902,0.540966164470907,0.151110578047186,0.201183508350119,5,0.508986402217639,0.129375705339705,0.237895189205666,0.0961191759675851,3,4,
0.71,710.5,269.5,220.5,3.5,2,0,0,6.37,11.27,191,0.291658177701537,0.990738450518298,0.952588734166438,0.334154831432209,25,0.899233689927529,0.338359130800082,0.964652812413712,0.291114415164063,3,3,
0.71,710.5,269.5,220.5,3.5,3,0,0,6.4,11.72,163,0.737875686906587,0.793059848566438,0.618848451054417,0.0954729261103691,20,0.0710495671833694,0.625962776494503,0.435757036860281,0.956120152279431,4,4,
0.71,710.5,269.5,220.5,3.5,4,0,0,6.37,11.29,104,0.972925744845703,0.485529286213967,0.507697740243283,0.0700428499837299,89,0.246147029232594,0.180348702119244,0.852473170350215,0.205511034317804,1,1,
0.71,710.5,269.5,220.5,3.5,5,0,0,6.4,11.67,186,0.687409758383955,0.616105516475726,0.966442040949919,0.334950085538499,20,0.313942038297165,0.136645714174119,0.462614296071501,0.789778034567167,4,2,
0.69,735,294,220.5,3.5,2,0,0,6.85,11.74,128,0.999900008111706,0.830613965849136,0.954769439155664,0.172312676621365,68,0.57148208646686,0.493339658350392,0.952073887235743,0.728297591598975,3,2,
0.69,735,294,220.5,3.5,3,0,0,6.79,12.05,3,0.00862081902976298,0.479902640477119,0.846404837653385,0.260295310387184,74,0.400559121397377,0.605673499604984,0.840292550919712,0.700868961427907,2,4,
0.69,735,294,220.5,3.5,4,0,0,6.77,11.73,24,0.239999269932098,0.27944748363508,0.206885127946864,0.511186646940067,81,0.604270840964286,0.610838356142722,0.965772798465913,0.627863273232338,1,4,
0.69,735,294,220.5,3.5,5,0,0,6.81,11.93,38,0.497597639260429,0.390669451017924,0.614855831922952,0.681200625650781,90,0.879676537023501,0.418553768544541,0.496342708655238,0.556276686863861,1,4,
0.66,759.5,318.5,220.5,3.5,2,0,0,7.18,12.4,95,0.463597912349427,0.956411798084783,0.6259954150529,0.567684469619521,34,0.704640368094216,0.903430536295187,0.711393521308789,0.149614465690187,2,1,
0.66,759.5,318.5,220.5,3.5,3,0,0,7.1,12.23,84,0.474628779849751,0.949828864595734,0.556995450343636,0.409501966241296,61,0.189570361206241,0.993930373656561,0.37003465848303,0.288173701872518,3,4,
0.66,759.5,318.5,220.5,3.5,4,0,0,7.1,12.4,81,0.873482382846947,0.0603923349226268,0.547264550814858,0.4614364724023,67,0.426328718251947,0.634769240483043,0.086705855138263,0.252581714812399,3,1,
0.66,759.5,318.5,220.5,3.5,5,0,0,7.1,12.14,5,0.130548611202871,0.918137594228793,0.0372500177134774,0.205956650282218,1,0.00646945452580467,0.465848755040162,0.42748948795672,0.961017055251793,2,2,
0.64,784,343,220.5,3.5,2,0,0,10.85,16.78,140,0.192566975731081,0.115446467414766,0.228486704173509,0.4967936810931,88,0.815341978892309,0.622417799327041,0.863894362017508,0.830980605964371,2,1,
0.64,784,343,220.5,3.5,3,0,0,10.54,16.8,43,0.315259663834605,0.535350038302806,0.860234069636959,0.0377226884259626,61,0.0941903116779454,0.600691027156353,0.871285995219909,0.027433393961896,1,2,
0.64,784,343,220.5,3.5,4,0,0,10.77,16.75,153,0.611357115940207,0.235191047179762,0.995894080811503,0.0301862521600033,46,0.555524138985693,0.541410966607961,0.174442207637823,0.745454475554119,4,4,
0.64,784,343,220.5,3.5,5,0,0,10.56,16.67,104,0.274200684306416,0.0123437856018872,0.49328634191042,0.921914523115511,93,0.649959570925375,0.00515103727850787,0.598631556986678,0.20559785753432,3,2,
0.62,808.5,367.5,220.5,3.5,2,0,0,8.6,12.07,64,0.766543904548105,0.415614940714528,0.341543766690204,0.302481277851358,35,0.0573481357025061,0.390025311456475,0.088209378595259,0.0480387967423839,2,4,
0.62,808.5,367.5,220.5,3.5,3,0,0,8.49,12.22,22,0.109442470876548,0.631591013360899,0.686914890908783,0.518173469638669,27,0.485424373750243,0.554392659639322,0.161301753645822,0.374976391220541,1,1,
0.62,808.5,367.5,220.5,3.5,4,0,0,8.45,12.08,24,0.919563749757064,0.388932477390075,0.450272775618686,0.351175919723476,99,0.951292380263041,0.118330897146824,0.290816538946365,0.919111227905633,2,1,
0.62,808.5,367.5,220.5,3.5,5,0,0,8.5,12.04,171,0.947166166725104,0.158248520125824,0.251442510099925,0.179683941413786,46,0.821992164810315,0.499297019863598,0.800260737879897,0.274585436470878,3,1,
0.98,514.5,294,110.25,7,2,0.1,1,24.58,26.47,139,0.945508046366179,0.00671342891685402,0.809964694153702,0.631483729299008,52,0.0278754264260622,0.360894675497647,0.827768594120375,0.0189778681042012,3,1,
0.98,514.5,294,110.25,7,3,0.1,1,24.63,26.37,146,0.110504921806532,0.525650132186678,0.95296138564365,0.169494254925012,64,0.096153174239256,0.399779653665232,0.127548630158224,0.383707192202928,2,1,
0.98,514.5,294,110.25,7,4,0.1,1,24.63,26.44,109,0.252269313852019,0.0395236366796598,0.20400216590801,0.714552393760753,92,0.450541559236263,0.578455623616411,0.971161855272048,0.836964775522478,1,2,
0.98,514.5,294,110.25,7,5,0.1,1,24.59,26.29,54,0.242664963559311,0.0600771689330424,0.0312204652501749,0.000591119232978076,40,0.6490871280907,0.785663837689784,0.210410595660497,0.0628689295280961,1,2,
0.9,563.5,318.5,122.5,7,2,0.1,1,29.03,32.92,5,0.161167836010641,0.0189916525559172,0.654278453695611,0.0113957150414701,60,0.270382312950532,0.679976886844791,0.253458014613884,0.102579283631891,4,1,
0.9,563.5,318.5,122.5,7,3,0.1,1,29.87,29.87,101,0.567193789380728,0.793522714922525,0.850547101783403,0.226688257072488,97,0.442881057123054,0.11129486812756,0.784980664134287,0.114636552340366,2,3,
0.9,563.5,318.5,122.5,7,4,0.1,1,29.14,29.58,179,0.726708027057745,0.519694891001173,0.845460684606195,0.896122498946084,57,0.87824512982489,0.35460416738425,0.758476862720483,0.0377946347660452,4,3,
0.9,563.5,318.5,122.5,7,5,0.1,1,28.09,34.33,41,0.203260089316679,0.161907756221636,0.12701917449019,0.968931641334898,47,0.157223158209767,0.600986953644983,0.24996121740162,0.7536943598779,1,4,
0.86,588,294,147,7,2,0.1,1,26.28,30.89,75,0.791492138838727,0.417060018858861,0.559493683229671,0.00934634832707681,75,0.579771363905573,0.672660201245258,0.284774688804411,0.297008075566993,2,1,
0.86,588,294,147,7,3,0.1,1,26.91,25.6,192,0.669338546726604,0.738347524207852,0.16730642385446,0.0832286310870901,78,0.00584161648415598,0.340656499206794,0.270027612556858,0.423534678566061,1,3,
0.86,588,294,147,7,4,0.1,1,26.37,27.03,142,0.941432365277167,0.958549468158572,0.450264800100061,0.526075660819127,45,0.711737915047537,0.71957489939007,0.213936891953931,0.403115036140968,4,2,
0.86,588,294,147,7,5,0.1,1,25.27,31.73,68,0.367436512679881,0.0895553282620524,0.55059030064419,0.47081987596261,91,0.879098481489037,0.83635930922419,0.137490616047067,0.882666784332295,4,3,
0.82,612.5,318.5,147,7,2,0.1,1,23.53,27.31,101,0.42753270395746,0.652788120046051,0.522555967801411,0.465866152255121,40,0.414310950110845,0.0132433816549106,0.578024621319974,0.645221745881117,4,3,
0.82,612.5,318.5,147,7,3,0.1,1,24.03,24.91,93,0.0974379408828176,0.285753638840091,0.969392613158969,0.473264540903185,49,0.496834243243198,0.800036755222049,0.426353286183947,0.296022667033609,2,3,
0.82,612.5,318.5,147,7,4,0.1,1,23.54,24.61,56,0.264648078285325,0.492726824845068,0.65019279363629,0.0517280437586211,13,0.568771977981089,0.141651086912692,0.627027780922322,0.69609764274852,1,1,
0.82,612.5,318.5,147,7,5,0.1,1,22.58,28.51,11,0.752256537975427,0.732455323524751,0.769581927130457,0.800860104591544,60,0.670635306151991,0.0778803536255239,0.341169592471288,0.290394915758296,2,1,
0.79,637,343,147,7,2,0.1,1,35.56,41.68,155,0.449522512621253,0.658894387703784,0.524084397317358,0.850559677491948,3,0.905109341336474,0.46336269422432,0.553408332492068,0.0354972994839424,3,1,
0.79,637,343,147,7,3,0.1,1,37.12,35.28,29,0.503770792099621,0.684953272891617,0.44885973637271,0.321317791806005,61,0.700002315252579,0.0148812352675905,0.971157422092572,0.406994572947558,3,1,
0.79,637,343,147,7,4,0.1,1,36.9,34.43,3,0.845432223316021,0.100223233516397,0.367331421795751,0.646426112859721,97,0.258299769192348,0.388575661797613,0.947899882509347,0.868699385087755,3,4,
0.79,637,343,147,7,5,0.1,1,35.94,43.33,39,0.258416303051984,0.705841874852573,0.0510092037372596,0.0855625952458303,94,0.799620706105198,0.955291738510151,0.490983469712386,0.754718319504465,2,1,
0.76,661.5,416.5,122.5,7,2,0.1,1,32.96,33.87,123,0.457899360524059,0.543205969601356,0.629619223294282,0.767325770361726,81,0.260881272617499,0.447591721588171,0.100829690724198,0.0548138583109871,1,4,
0.76,661.5,416.5,122.5,7,3,0.1,1,32.12,34.07,9,0.918065572830122,0.997817789798511,0.236931415311616,0.932073828484194,71,0.309583438015028,0.690097628540775,0.660718077794549,0.775238904805947,2,1,
0.76,661.5,416.5,122.5,7,4,0.1,1,32.94,34.14,165,0.224106647508827,0.0260774738533363,0.132126314386946,0.357084249262664,76,0.492828959177946,0.799175473151436,0.484739534679446,0.462247129372733,1,2,
0.76,661.5,416.5,122.5,7,5,0.1,1,32.21,33.67,129,0.150729527626572,0.0266335591519318,0.940616970698935,0.847421563741479,98,0.170139880232173,0.685603771476097,0.542202288351537,0.065821046692678,2,3,
0.74,686,245,220.5,3.5,2,0.1,1,10.36,13.43,109,0.475037540933672,0.686766287935435,0.160741035964201,0.0472830316006073,85,0.934437286755323,0.894236772229968,0.467553735876088,0.793968238489811,1,1,
0.74,686,245,220.5,3.5,3,0.1,1,10.43,13.71,181,0.83899003262464,0.66909068135828,0.901740847031055,0.00273409473834953,45,0.0727929017545037,0.766987387211163,0.435471382041656,0.232211844560344,1,3,
0.74,686,245,220.5,3.5,4,0.1,1,10.36,13.48,180,0.985536160365867,0.623769654369306,0.364151623070129,0.415639363337004,49,0.789969361725246,0.96952974796447,0.656594973992868,0.643487109677628,2,2,
0.74,686,245,220.5,3.5,5,0.1,1,10.39,13.7,30,0.765727316895917,0.221654859384625,0.788135646068948,0.963027401495602,60,0.0834638921805519,0.860707424777147,0.033037202742601,0.23000056243164,1,2,
0.71,710.5,269.5,220.5,3.5,2,0.1,1,10.71,13.8,107,0.681557003964724,0.84337028196626,0.0203248788010295,0.578659513338111,35,0.544470049645048,0.90403214045354,0.324660173589647,0.14664151835474,4,1,
0.71,710.5,269.5,220.5,3.5,3,0.1,1,10.8,14.28,48,0.506502693954376,0.492699806603322,0.30690946502621,0.470873450030875,33,0.948493993141763,0.374256023191307,0.395429890754889,0.70095158804805,2,4,
0.71,710.5,269.5,220.5,3.5,4,0.1,1,10.7,13.87,94,0.762017539279019,0.809839052187072,0.586786233548321,0.85032094599327,74,0.466908593757156,0.0589687018041618,0.864110279641268,0.905242370137558,4,2,
0.71,710.5,269.5,220.5,3.5,5,0.1,1,10.75,14.27,28,0.352236097812539,0.980885148296891,0.037310850810861,0.996606197353354,2,0.317282059752639,0.317620336139367,0.502665164214441,0.833177907099767,2,3,
0.69,735,294,220.5,3.5,2,0.1,1,11.11,14.28,139,0.41421832329134,0.783208004303883,0.371323896429449,0.157398249724655,75,0.470885358865352,0.649767376906215,0.828231346225429,0.427030864875673,4,4,
0.69,735,294,220.5,3.5,3,0.1,1,11.13,14.61,15,0.579322480500465,0.473495470518886,0.58124213173569,0.981476360506548,88,0.286709623947902,0.622888322716721,0.390315927612747,0.913749724538968,1,2,
0.69,735,294,220.5,3.5,4,0.1,1,11.09,14.3,148,0.487182964657544,0.708817856565407,0.535947431053348,0.368742367085072,24,0.874844386714655,0.116100631154442,0.922213324977545,0.196762795689259,1,2,
0.69,735,294,220.5,3.5,5,0.1,1,11.16,14.45,8,0.987367113424859,0.301559717199646,0.964720961429594,0.396965481153086,57,0.024063585378067,0.886903153783987,0.899259853377688,0.141330432886877,2,4,
0.66,759.5,318.5,220.5,3.5,2,0.1,1,11.68,13.9,172,0.384409925255884,0.940633585705874,0.886433139373598,0.863804474332052,48,0.407636500644107,0.242298089054174,0.527863313240545,0.183435834243311,4,3,
0.66,759.5,318.5,220.5,3.5,3,0.1,1,11.69,13.72,143,0.472690800563941,0.663467578070628,0.863168679730802,0.627691131324011,66,0.775005632356388,0.786366459399507,0.801739809419777,0.421068222256016,2,1,
0.66,759.5,318.5,220.5,3.5,4,0.1,1,11.7,13.88,52,0.454278722095756,0.534750514839864,0.267510796427102,0.379783588832317,58,0.821931004550112,0.9649235975448,0.578243297652264,0.366305338319928,1,1,
0.66,759.5,318.5,220.5,3.5,5,0.1,1,11.69,13.65,25,0.991902827981959,0.00272083372950874,0.2919567346483,0.0631650664635438,86,0.466338870303941,0.610142509280609,0.259371298978312,0.170218330695282,1,2,
0.64,784,343,220.5,3.5,2,0.1,1,15.41,19.37,114,0.490866603697468,0.193330676134255,0.0401831002343842,0.267242683153971,58,0.696511306901542,0.809421289098341,0.58004076381289,0.667413369008512,4,3,
0.64,784,343,220.5,3.5,3,0.1,1,15.2,19.43,10,0.454450667771566,0.322733840770502,0.171088027825422,0.140301777334006,25,0.992290502075132,0.691268258857813,0.748398724456885,0.249131242859772,2,2,
0.64,784,343,220.5,3.5,4,0.1,1,15.42,19.34,88,0.495314635895589,0.82079011072519,0.704422017201583,0.562841628268195,1,0.3428986453062,0.376622578500368,0.0513527946669554,0.2018642810285,4,4,
0.64,784,343,220.5,3.5,5,0.1,1,15.21,19.32,46,0.215578584675969,0.0243871490644518,0.703404280713615,0.712567949837724,90,0.516605952168685,0.379707669050633,0.912410120652246,0.00763049480775967,4,1,
0.62,808.5,367.5,220.5,3.5,2,0.1,1,12.96,14.34,169,0.983236388648098,0.103810721213054,0.667162584884838,0.381695140760256,27,0.936965476436068,0.492978792056513,0.909748048442825,0.765057466734107,4,4,
0.62,808.5,367.5,220.5,3.5,3,0.1,1,12.97,14.5,141,0.0374564204733678,0.301355891181691,0.475485123856019,0.81531247198138,14,0.401321688341111,0.128016681103214,0.496304125685538,0.525901825914296,2,3,
0.62,808.5,367.5,220.5,3.5,4,0.1,1,12.93,14.33,111,0.457379545548114,0.777720444032852,0.0715831764373785,0.370234093293693,46,0.0517830017302146,0.462617574802436,0.351752331921552,0.476769895896424,3,4,
0.62,808.5,367.5,220.5,3.5,5,0.1,1,13.02,14.27,115,0.806065757853341,0.578752141965876,0.0607885283390631,0.0682965175206401,77,0.327557958636149,0.959117969349014,0.79427990712631,0.214180244525098,3,4,
0.98,514.5,294,110.25,7,2,0.1,2,24.29,25.95,124,0.269828707602841,0.997318061329861,0.462320904974417,0.319182781823293,21,0.902634823116129,0.852734883034906,0.639184460657461,0.664191306023277,4,4,
0.98,514.5,294,110.25,7,3,0.1,2,24.31,25.63,197,0.286518759739074,0.632691709223841,0.889927943608501,0.262991563840333,24,0.991584320643078,0.633695569757479,0.966734878880846,0.999768162666497,2,1,
0.98,514.5,294,110.25,7,4,0.1,2,24.13,26.13,17,0.277955534408994,0.851362674492957,0.954675977981464,0.615535238334183,58,0.411208257465336,0.823295256354078,0.224680177880989,0.754077587308967,4,2,
0.98,514.5,294,110.25,7,5,0.1,2,24.25,25.89,22,0.0751606885715917,0.482382179160066,0.105000128668507,0.264834164557861,97,0.651460986583663,0.218635225875774,0.168178777935523,0.0745306971608134,4,2,
0.9,563.5,318.5,122.5,7,2,0.1,2,28.88,32.54,122,0.557201733938826,0.996606302790439,0.191905624435784,0.151255792835338,61,0.196576836590775,0.556718787983138,0.650447809953595,0.28725465714891,3,3,
0.9,563.5,318.5,122.5,7,3,0.1,2,29.68,29.44,45,0.12678028893564,0.135148109394945,0.331462106872632,0.037131349682103,5,0.412798018934015,0.0111720604059862,0.604490609783999,0.794111708360182,4,1,
0.9,563.5,318.5,122.5,7,4,0.1,2,28.83,29.36,39,0.0336028033864831,0.226281555446825,0.856938895238235,0.166392901578654,48,0.72452894389347,0.826341671080091,0.741038630521003,0.953525861394076,3,4,
0.9,563.5,318.5,122.5,7,5,0.1,2,27.9,34.2,127,0.938881337074353,0.113872494981105,0.557152499608128,0.728473122206713,87,0.240741426389377,0.504261126139139,0.0677888358704429,0.792228068607826,4,3,
0.86,588,294,147,7,2,0.1,2,26.48,30.91,170,0.783805065863905,0.946092373019651,0.406485607825315,0.984073756047298,98,0.584246372179577,0.67264571041758,0.0416987945553483,0.481104358318912,4,4,
0.86,588,294,147,7,3,0.1,2,27.02,25.63,85,0.618427893430465,0.443441079077407,0.387907940078465,0.339427084427596,79,0.580054493858874,0.568284585969805,0.31615222929924,0.589018149905567,2,1,
0.86,588,294,147,7,4,0.1,2,26.33,27.36,102,0.545105158866431,0.140768440787624,0.953796526780403,0.402451040995486,73,0.54233409501987,0.774028312299223,0.0709175249955078,0.698606256202058,4,1,
0.86,588,294,147,7,5,0.1,2,25.36,31.9,180,0.684456610166404,0.00948650537606205,0.665118495462501,0.767784710311652,60,0.953912542003565,0.894128531403515,0.494857803999125,0.233475565042631,1,2,
0.82,612.5,318.5,147,7,2,0.1,2,23.75,27.38,13,0.00246026292803761,0.148773816880205,0.258361614362672,0.798554406692938,84,0.972851231386859,0.613249847907944,0.521168941236185,0.847616855757089,1,2,
0.82,612.5,318.5,147,7,3,0.1,2,24.23,25.02,95,0.153398038731418,0.827199354606057,0.89134094115293,0.529649928919478,13,0.287020189230447,0.377237614977347,0.205537628650666,0.972993036198486,2,1,
0.82,612.5,318.5,147,7,4,0.1,2,23.67,24.8,184,0.767450936234531,0.816245171447809,0.957346434826565,0.804119125129509,13,0.245983449615994,0.828904346447722,0.728991916808276,0.71971194456894,2,2,
0.82,612.5,318.5,147,7,5,0.1,2,22.79,28.79,129,0.442965928029233,0.431077773031776,0.535885869705997,0.813797047554136,43,0.156299803249122,0.731276847423364,0.856374194846654,0.648866196702397,4,3,
0.79,637,343,147,7,2,0.1,2,35.65,41.07,159,0.433403835128881,0.565971631217944,0.0272389150210305,0.311999956246231,70,0.665241418807322,0.934467840247192,0.28690999996285,0.123737535169764,2,3,
0.79,637,343,147,7,3,0.1,2,37.26,34.62,170,0.365580288453512,0.696840887157849,0.780000745131811,0.576714301347242,44,0.369412729390551,0.628238572041477,0.355414440837106,0.462827026207373,3,3,
0.79,637,343,147,7,4,0.1,2,36.97,33.87,113,0.700337744900387,0.0854260748619715,0.313635429318991,0.00492733430693648,30,0.54777892626738,0.106567356547224,0.117607920217563,0.475169627309486,2,2,
0.79,637,343,147,7,5,0.1,2,36.03,42.86,58,0.383940613948424,0.176919060585642,0.657767509454171,0.88322200091828,12,0.268638892806185,0.313431189246506,0.183572869444475,0.163058563695291,3,1,
0.76,661.5,416.5,122.5,7,2,0.1,2,33.16,33.91,164,0.382004075962674,0.533895572190306,0.441705360937409,0.214490322428187,22,0.553589526809269,0.713205531084159,0.6918926091407,0.745006381612959,2,1,
0.76,661.5,416.5,122.5,7,3,0.1,2,32.4,34.07,153,0.846741304682781,0.797917693439058,0.948333469123732,0.943302494732099,73,0.415925866836106,0.187719796745461,0.494118944683246,0.757596481126392,2,1,
0.76,661.5,416.5,122.5,7,4,0.1,2,33.12,34.17,76,0.952484852443241,0.654826909522442,0.285953119255404,0.525270275837042,42,0.392456901050505,0.488043064796207,0.82819590255592,0.791652660454478,1,2,
0.76,661.5,416.5,122.5,7,5,0.1,2,32.41,33.78,69,0.283384962870655,0.957057532330565,0.835035183889939,0.176206624627202,19,0.126024264589015,0.150865634088318,0.0807118989535918,0.829729730804925,2,2,
0.74,686,245,220.5,3.5,2,0.1,2,10.42,13.39,195,0.47930714524209,0.831354524295903,0.0187786508755766,0.354658569940064,80,0.163917889217227,0.35766608714718,0.303315044108724,0.315817298734544,1,4,
0.74,686,245,220.5,3.5,3,0.1,2,10.46,13.72,104,0.456745398169997,0.563985917402689,0.717724784660847,0.615106336848869,72,0.267371972789683,0.63374988439484,0.101716116764312,0.830151617233164,3,4,
0.74,686,245,220.5,3.5,4,0.1,2,10.32,13.57,126,0.32907502812335,0.860180684814331,0.0061507120934206,0.673587204024539,17,0.471392213669411,0.195783038956879,0.973958521828907,0.0461815444879049,4,3,
0.74,686,245,220.5,3.5,5,0.1,2,10.45,13.79,74,0.185216927704364,0.941430069523601,0.382445658828485,0.522330240761016,3,0.389696691794589,0.0959206831847499,0.761971852941776,0.4890934320054,1,4,
0.71,710.5,269.5,220.5,3.5,2,0.1,2,10.64,13.67,99,0.833309404371769,0.166237634733962,0.0578633138919825,0.71069031306911,90,0.44341573137365,0.847603153674938,0.818609191943204,0.70830274510822,4,3,
0.71,710.5,269.5,220.5,3.5,3,0.1,2,10.72,14.11,114,0.697133760988086,0.606509009239245,0.0591935621774985,0.45999442564852,58,0.885769531268908,0.475257589667696,0.647366279924887,0.455738857731279,1,1,
